part,module,slide,slide_title,topic,script_file,start_line,end_line,master_start_line,master_end_line,packages,datasets,functions,code_status
I,Training,6,Brief Overview,Workshop overview and random-forest ecosystem,ASAtravel_Part_I_Training.R,19,37,29,47,randomForestSRC; survival,mtcars; iris; airquality; veteran; wihs; breast,Multivar; Surv; imbalanced; quantreg; rfsrc; sidClustering,reference
I,Training,7,Quick Start: Iowa Housing,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,40,47,50,57,randomForestSRC,housing,dim,runnable
I,Training,9,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,50,56,60,66,randomForestSRC,housing,rfsrc,runnable
I,Training,10,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,59,65,69,75,randomForestSRC,housing,,runnable
I,Training,11,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,68,74,78,84,randomForestSRC,housing,,runnable
I,Training,12,Quick Start: Iowa Housing,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,77,90,87,100,randomForestSRC,housing,rfsrc,runnable
I,Training,13,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,93,105,103,115,randomForestSRC,housing,rfsrc,runnable
I,Training,14,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,108,114,118,124,randomForestSRC,housing,rfsrc,reference
I,Training,15,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,117,124,127,134,randomForestSRC,housing,rfsrc,reference
I,Training,16,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,127,133,137,143,randomForestSRC,housing,rfsrc,reference
I,Training,17,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,136,142,146,152,randomForestSRC,housing,,runnable
I,Training,18,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,145,151,155,161,randomForestSRC,housing,rfsrc,reference
I,Training,19,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,154,160,164,170,randomForestSRC,housing,rfsrc,reference
I,Training,20,Quick Start,Iowa housing quick start and forest output,ASAtravel_Part_I_Training.R,163,171,173,181,randomForestSRC,housing,head; predict,runnable
I,Training,22,Nonparametric regression,Regression and quantile regression,ASAtravel_Part_I_Training.R,174,192,184,202,randomForestSRC; survival,mtcars; iris; airquality; veteran; wihs; breast,Multivar; Surv; imbalanced; quantreg; rfsrc; sidClustering,reference
