part,slide_index,slide_title,block_index,first_line_preview
Part I,6,Brief Overview,1,"o <- rfsrc(y ~ a + z, data= dta, ntree = 1)"
Part I,6,Brief Overview,2,"o <- impute(y ~ ., data = dta, nimpute = 3) # for supervised problem"
Part I,7,Quick Start: Iowa Housing,1,"data(housing, package = ""randomForestSRC"")"
Part I,9,Quick Start,1,library(randomForestSRC)
Part I,10,Quick Start,1,library(randomForestSRC)
Part I,11,Quick Start,1,13                      (OOB) R squared: 0.90947926
Part I,12,Quick Start: Iowa Housing,1,"o <- rfsrc(SalePrice~., data= housing)"
Part I,12,Quick Start: Iowa Housing,2,housing$SalePrice <- log(housing$SalePrice)
Part I,13,Quick Start,1,"data(housing, package = ""randomForestSRC"")"
Part I,13,Quick Start,2,"rfsrc(…, ntree = 500)"
Part I,14,Quick Start,1,"data(housing, package = ""randomForestSRC"")"
Part I,14,Quick Start,2,"rfsrc(…, nodesize = 5)"
Part I,15,Quick Start,1,"data(housing, package = ""randomForestSRC"")"
Part I,15,Quick Start,2,"rfsrc(…, mtry = NULL)"
Part I,16,Quick Start,1,"data(housing, package = ""randomForestSRC"")"
Part I,16,Quick Start,2,"rfsrc(…, samptype =""swor"")"
Part I,17,Quick Start,1,"data(housing, package = ""randomForestSRC"")"
Part I,18,Quick Start,1,"data(housing, package = ""randomForestSRC"")"
Part I,18,Quick Start,2,"rfsrc(…, splitrule =“mse"")"
Part I,19,Quick Start,1,"data(housing, package = ""randomForestSRC"")"
Part I,19,Quick Start,2,"rfsrc(…, nsplit = 10)"
Part I,20,Quick Start,1,"o.pred <- predict(o, newdata = housing[c(1:10),])"
Part I,22,Quick Start: Iowa Housing,1,"data(housing, package = ""randomForestSRC"")"
Part I,23,Quick Start: Iowa Housing,1,nrow(housing)
Part I,23,Quick Start: Iowa Housing,2,nrow(housing)
Part I,24,Quick Start: Iowa Housing,1,"o <- rfsrc(SalePrice~., data = housing)"
Part I,24,Quick Start: Iowa Housing,2,"o <- rfsrc(SalePrice~., data = housing, na.action = ""na.impute"")"
Part I,29,Regression example: Iowa housing,1,"o <- quantreg(SalePrice ~ ., housing, splitrule = ""mse"", ntree = 250)"
Part I,29,Regression example: Iowa housing,2,o
Part I,29,Regression example: Iowa housing,3,plot.quantreg(o)
Part I,32,Regression example: Iowa housing,1,library(devtools)
Part I,33,Regression example: Iowa housing,1,library(randomForestSRC.run)
Part I,36,Classification example: Glioma,1,"# install.packages(""devtools"") # if you have not installed ""devtools"" package"
Part I,37,Classification example: Glioma,1,"o <- rfsrc(y~., data = glioma)"
